otu,Genus,counts
Otu00497,Aquabacterium,270
Otu00498,Pedobacter,386
Otu00499,Actinobacteria Rank3,97
Otu00500,Rhodococcus,162
Otu00501,Verrucomicrobiaceae_unclassified,209
Otu00502,Veillonellaceae_unclassified,387
Otu00504,Actinobacteria Rank2,180
Otu00505,Chromatiales_unclassified,3
Otu00506,Formivibrio,185
Otu00508,Methyloceanibacter,233
Otu00509,Bacillus,458
Otu00510,Salinimicrobium,11
Otu00511,Micrococcaceae_unclassified,34
Otu00512,Jeotgalibacillus,458
Otu00513,Burkholderiales_unclassified,45
Otu00515,Opitutus,314
Otu00516,Paludibacter,317
Otu00517,Rhodobacteraceae_unclassified,7
Otu00518,Euzebya,3
Otu00519,Novosphingobium,128
Otu00520,Prosthecobacter,99
Otu00521,Bacteria_unclassified,191
Otu00522,Bacillales_unclassified,3
Otu00523,Methylophilus,291
Otu00524,Nocardioides,164
Otu00525,Bacillus,3
Otu00526,Rhodobacteraceae_unclassified,442
Otu00527,Marinobacter,439
Otu00528,Pseudoxanthomonas,12
Otu00529,Sphingopyxis,228
Otu00530,Burkholderiales_unclassified,38
Otu00531,Flavobacterium,292
Otu00533,Rhodopseudomonas,315
Otu00534,Rhodobacteraceae_unclassified,200
Otu00535,Bacillus,70
Otu00536,Anaerosporobacter,425
Otu00537,Clostridium_XlVa,400
Otu00538,Rheinheimera,80
Otu00539,Skermanella,4
Otu00540,Friedmanniella,414
Otu00541,Sanguibacter,290
Otu00542,Methylophilaceae_unclassified,38
Otu00543,Flavobacterium,149
Otu00544,Caulobacteraceae_unclassified,182
Otu00545,Marinimicrobium,416
Otu00546,Novosphingobium,378
Otu00547,Bacillales_unclassified,1
Otu00548,Flavobacterium,149
Otu00549,Hyphomicrobiaceae_unclassified,251
Otu00550,Rhodocyclaceae_unclassified,410
Otu00551,Luteolibacter,273
Otu00552,Nocardioides,397
Otu00553,Kineococcus,93
Otu00554,Flavobacterium,141
Otu00556,Nesterenkonia,4
Otu00557,Methylophilaceae_unclassified,45
Otu00558,Devosia,276
Otu00559,Undibacterium,117
Otu00561,Burkholderiales_unclassified,387
Otu00562,Pontibacter,1
Otu00563,Arcobacter,385
Otu00564,Rhizobiales_unclassified,114
Otu00565,Duganella,265
Otu00566,Chelativorans,1
Otu00567,Actinobacteria Rank3,314
Otu00568,Rhodocyclaceae_unclassified,344
Otu00569,Devosia,251
Otu00570,Bacillus,3
Otu00572,Pseudomonas,19
Otu00574,Nocardioides,337
Otu00575,Gaiella,317
Otu00576,Gp16_unclassified,347
Otu00577,Rhizobiales_unclassified,255
Otu00578,Nocardioides,151
Otu00579,Catalinimonas,1
Otu00580,Delftia,225
Otu00581,Actinobacteria Rank3,156
Otu00582,Nesterenkonia,42
Otu00584,Solirubrobacter,172
Otu00585,Terribacillus,2
Otu00586,Bacillus,142
Otu00587,Myxococcales_unclassified,267
Otu00588,Ornithinibacillus,1
Otu00589,Stenotrophomonas,278
Otu00590,Marinilabilia,367
Otu00591,Planococcaceae_unclassified,2
Otu00592,Alphaproteobacteria_unclassified,367
Otu00593,Bacillales_unclassified,1
Otu00594,Hylemonella,336
Otu00595,Pelomonas,81
Otu00596,Acinetobacter,90
Otu00597,Klebsiella,353
Otu00598,Dyadobacter,142
Otu00599,Luteimonas,3
Otu00600,Arenimonas,286
Otu00601,Bacillus,2
Otu00603,Bacillales_unclassified,7
Otu00604,Roseomonas,192
Otu00605,Gp6_unclassified,344
Otu00606,Salinimicrobium,7
Otu00610,Chryseolinea_unclassified,1
Otu00611,Bacteroides,288
Otu00612,Alphaproteobacteria_unclassified,353
Otu00613,Asticcacaulis,47
Otu00614,Acidimicrobiales_unclassified,8
Otu00615,Acidimicrobiales_unclassified,87
Otu00616,Martelella,348
Otu00617,Sphaerobacteraceae_unclassified,37
Otu00619,Lachnospiraceae_unclassified,341
Otu00620,Rhizobiales_unclassified,2
Otu00622,Methylocystaceae_unclassified,274
Otu00623,Geodermatophilaceae_unclassified,5
Otu00624,Rhizobiales_unclassified,187
Otu00625,Flavobacterium,342
Otu00626,Gp16_unclassified,1
Otu00627,Leifsonia,1
Otu00628,Devosia,226
Otu00629,Aureimonas,208
Otu00630,Gp4_unclassified,320
Otu00631,Asticcacaulis,95
Otu00632,Flavobacterium,2
Otu00634,Conexibacter,17
Otu00635,Rhodocytophaga,1
Otu00636,Marinobacter,334
Otu00637,Blastococcus,6
Otu00638,Hymenobacter,319
Otu00640,Acetobacteraceae_unclassified,316
Otu00641,Chryseobacterium,303
Otu00642,Solirubrobacterales_unclassified,15
Otu00643,Myxococcales_unclassified,322
Otu00644,Burkholderiales_unclassified,120
Otu00645,Clostridium_sensu_stricto,222
Otu00647,Flavobacterium,166
Otu00649,Bacteria_unclassified,1
Otu00650,Chryseobacterium,146
Otu00651,Erythrobacteraceae_unclassified,22
Otu00653,Bacillus,3
Otu00654,Nocardioides,62
Otu00655,Pectobacterium,281
Otu00656,Rhizobiales_unclassified,129
Otu00657,Hyphomicrobium,217
Otu00658,Solirubrobacter,173
Otu00659,Rhodocyclaceae_unclassified,262
Otu00660,Phaeocystidibacter,319
Otu00664,Ilumatobacter,207
Otu00665,Acidimicrobiales_unclassified,298
Otu00666,Myxococcales_unclassified,41
Otu00667,Rhizobium,12
Otu00668,Frondihabitans,217
Otu00669,Vogesella,307
Otu00670,Pontibacter,3
Otu00671,Gammaproteobacteria_unclassified,154
Otu00673,Gp3_unclassified,91
Otu00674,Bacteroides,280
Otu00675,Vibrio,309
Otu00676,Microbacteriaceae_unclassified,266
Otu00677,Novosphingobium,285
Otu00678,Planococcaceae_unclassified,141
Otu00679,Burkholderiales_unclassified,254
Otu00681,Chryseolinea_unclassified,230
Otu00682,Thermoleophilum,16
Otu00683,Pedobacter,196
Otu00684,Cyclobacteriaceae_unclassified,2
Otu00685,Porphyromonadaceae_unclassified,194
Otu00687,Curvibacter,70
Otu00688,Hyphomicrobiaceae_unclassified,181
Otu00689,Clostridium_XlVa,222
Otu00691,Intrasporangiaceae_unclassified,228
Otu00692,Micrococcaceae_unclassified,8
Otu00694,Luteolibacter,161
Otu00695,Ramlibacter,16
Otu00696,Actinobacteria Rank3,9
Otu00698,Epilithonimonas,87
Otu00699,Pseudorhodoferax,221
Otu00700,Nocardioidaceae_unclassified,3
Otu00701,Sunxiuqinia,286
Otu00702,Bacteria_unclassified,236
Otu00703,Enterobacteriaceae_unclassified,267
Otu00704,Azonexus,283
Otu00705,Bacteroides,265
Otu00706,Clostridium_XlVa,264
Otu00707,Actinobacteria Rank3,282
Otu00709,Mycobacterium,71
Otu00711,Oceanospirillaceae_unclassified,280
Otu00713,Sphingomonadaceae_unclassified,239
Otu00714,Lachnospiraceae_unclassified,263
Otu00715,Pseudomonas,245
Otu00716,Veillonellaceae_unclassified,137
Otu00717,Clostridium_XlVa,233
Otu00718,Devosia,2
Otu00719,Prolixibacteraceae_unclassified,229
Otu00720,Propionivibrio,193
Otu00721,Glycomyces,1
Otu00722,Reyranella_unclassified,251
Otu00724,Phaeocystidibacter,272
Otu00725,Rhizobiales_unclassified,6
Otu00726,Veillonellaceae_unclassified,251
Otu00727,Virgisporangium,193
Otu00728,Lachnospiraceae_unclassified,248
Otu00729,Oxalobacteraceae_unclassified,176
Otu00730,Actinobacteria Rank3,2
Otu00731,Lysobacter,1
Otu00732,Conexibacter,22
Otu00733,Microvirgula,232
Otu00734,Bacillales_unclassified,15
Otu00735,Actinomycetales_unclassified,78
Otu00736,Bacillus,263
Otu00737,Cytophaga,223
Otu00739,Cyclobacterium,264
Otu00740,Actinomycetales_unclassified,19
Otu00741,Ruminococcaceae_unclassified,187
Otu00743,Aquabacterium,149
Otu00744,Bacteria_unclassified,3
Otu00746,Hyphomicrobiaceae_unclassified,120
Otu00747,Pseudoxanthomonas,22
Otu00748,Dyadobacter,186
Otu00749,Geminicoccus_unclassified,222
Otu00750,Flavobacteriaceae_unclassified,250
Otu00751,Actinobacteria Rank2,96
Otu00752,Prolixibacteraceae_unclassified,122
Otu00753,Ralstonia,2
Otu00754,Paludibacter,177
Otu00755,Rhodobacteraceae_unclassified,13
Otu00756,Kangiella,252
Otu00757,Halomonas,4
Otu00758,Methylophaga,250
Otu00759,Gammaproteobacteria_unclassified,250
Otu00760,Actinobacteria Rank3,1
Otu00761,Demequina,241
Otu00762,Myxococcales_unclassified,227
Otu00763,Mycobacterium,76
Otu00764,Sphingomonas,237
Otu00765,Pseudoalteromonas,246
Otu00766,Bacillus,8
Otu00767,Stappia,246
Otu00768,Bacillus,2
Otu00769,Phyllobacteriaceae_unclassified,80
Otu00771,Spirochaeta,184
Otu00772,Flavobacterium,1
Otu00773,Azovibrio,102
Otu00774,Enterococcus,239
Otu00775,Alphaproteobacteria_unclassified,229
Otu00776,Iamia,5
Otu00777,Cytophagales_unclassified,116
Otu00778,Sphingomonadaceae_unclassified,11
Otu00779,Gammaproteobacteria_unclassified,169
Otu00780,Flavobacterium,77
Otu00781,Rhizobiales_unclassified,54
Otu00782,Aridibacter_unclassified,108
Otu00783,Brevibacterium,56
Otu00784,Enterobacteriaceae_unclassified,232
Otu00785,Gp6_unclassified,64
Otu00786,Opitutus,167
Otu00787,Rhizobiales_unclassified,216
Otu00789,Gp4_unclassified,212
Otu00791,Stenotrophomonas,192
Otu00792,Rubrobacter,1
Otu00793,Actinobacteria Rank3,66
Otu00794,Bacteroides,176
Otu00795,Comamonadaceae_unclassified,97
Otu00797,Euzebya,3
Otu00798,Gracilibacillus,1
Otu00799,Flavobacterium,91
Otu00800,Myxococcales_unclassified,55
Otu00801,Pseudomonas,203
Otu00802,Xanthomonadaceae_unclassified,10
Otu00803,Rhizobiales_unclassified,79
Otu00804,Actinobacteria Rank2,231
Otu00805,Cytophagaceae_unclassified,1
Otu00806,Betaproteobacteria_unclassified,3
Otu00807,Cellvibrio,108
Otu00808,Nonomuraea,7
Otu00810,Acidimicrobiales_unclassified,1
Otu00811,Geodermatophilus,160
Otu00812,Pedomicrobium,151
Otu00813,Flavobacterium,103
Otu00814,Flavobacterium,90
Otu00815,Candidatus_Saccharibacteria_unclassified,1
Otu00816,Formivibrio,84
Otu00817,Dongia,190
Otu00818,Pedobacter,121
Otu00819,Paenibacillus,204
Otu00822,Alteromonadaceae_unclassified,221
Otu00823,Actinomycetospora,221
Otu00824,Prolixibacteraceae_unclassified,128
Otu00826,Cellulomonas,111
Otu00828,Nocardioidaceae_unclassified,68
Otu00829,Pseudonocardia,30
Otu00830,Caulobacteraceae_unclassified,53
Otu00831,Propionicimonas,114
Otu00832,Rhizobiaceae_unclassified,176
Otu00833,Euzebya,41
Otu00834,Rhizobacter,181
Otu00835,Myxococcus,33
Otu00836,Chitinophagaceae_unclassified,154
